[GIN] 2026/01/01 - 11:40:05 | 401 |      23.273µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:05 | 200 |   11.050207ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:06 | 401 |      135.14µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:06 | 401 |      28.029µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:06 | 401 |      22.258µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:06 | 401 |      28.087µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:06 | 200 |   10.978531ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:07 | 401 |     137.758µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:07 | 200 |     143.232µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:07 | 200 |     137.251µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:07 | 200 |     776.306µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:40:07 | 200 |     271.179µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:40:07 | 200 |     221.468µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:40:07 | 401 |      24.148µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:07 | 401 |        23.4µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:07 | 401 |      24.379µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:07 | 200 |    1.927791ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:08 | 401 |     137.157µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:08 | 401 |      22.898µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:08 | 401 |      25.674µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:08 | 401 |      23.309µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:08 | 200 |   10.990755ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:09 | 401 |     156.428µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:09 | 401 |      22.998µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:09 | 401 |      23.475µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:09 | 401 |      34.441µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:09 | 200 |   11.147938ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:10 | 401 |     147.284µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:10 | 401 |      24.762µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:10 | 401 |      23.155µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:10 | 401 |      23.678µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:10 | 200 |   11.024528ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:11 | 401 |     149.395µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:11 | 401 |      23.235µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:11 | 401 |      24.159µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:11 | 401 |      23.175µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:11 | 200 |   10.988149ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:12 | 401 |     138.125µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:12 | 200 |     435.812µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:12 | 200 |     157.102µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:12 | 200 |     796.783µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:40:12 | 200 |     217.198µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:40:12 | 200 |      179.85µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:40:12 | 401 |       29.53µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:12 | 401 |      22.896µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:12 | 401 |      23.617µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:12 | 200 |   10.878114ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:13 | 401 |     162.844µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:13 | 401 |      22.306µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:13 | 401 |      23.779µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:13 | 401 |      22.725µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:13 | 200 |   10.833425ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:14 | 401 |     141.889µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:14 | 401 |      26.066µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:14 | 401 |      25.245µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:14 | 401 |      22.853µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:14 | 200 |   10.887672ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:15 | 401 |      155.17µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:15 | 401 |      27.192µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:15 | 401 |      25.456µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:15 | 401 |      36.335µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:15 | 200 |   10.928117ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:16 | 401 |     166.098µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:16 | 401 |      38.555µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:16 | 401 |      26.891µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:16 | 401 |       24.84µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:16 | 200 |   10.844479ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:17 | 401 |     173.147µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:17 | 200 |      264.06µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:17 | 200 |     225.414µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:17 | 200 |    1.195099ms |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:40:17 | 200 |      242.22µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:40:17 | 200 |       276.8µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:40:17 | 401 |      32.579µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:17 | 401 |      26.444µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:17 | 401 |      35.318µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:17 | 200 |   10.966566ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:18 | 401 |     161.015µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:18 | 401 |      65.161µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:18 | 401 |       27.77µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:18 | 401 |      37.152µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:18 | 200 |    11.79971ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:19 | 401 |     534.945µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:19 | 401 |      64.215µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:19 | 401 |      76.249µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:19 | 401 |      39.149µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:19 | 200 |    11.27274ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:20 | 401 |     159.457µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:20 | 401 |      33.192µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:20 | 401 |      30.927µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:20 | 401 |      51.584µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:20 | 200 |   10.994476ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:21 | 401 |     222.254µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:21 | 401 |      33.396µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:21 | 401 |      32.741µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:21 | 401 |       26.05µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:21 | 200 |   11.147254ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:22 | 401 |     382.064µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:22 | 200 |     200.046µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:22 | 200 |     177.603µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:40:22 | 200 |     481.807µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:40:22 | 200 |     203.698µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:40:22 | 200 |      204.95µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:40:22 | 401 |       43.79µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:22 | 401 |      31.548µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:22 | 401 |      34.741µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:22 | 200 |   11.118492ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:23 | 401 |     183.114µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:23 | 401 |      26.263µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:23 | 401 |      69.359µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:23 | 401 |      26.832µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:23 | 200 |   11.055532ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:24 | 401 |     299.721µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:24 | 401 |      29.037µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:24 | 401 |      66.142µs |       127.0.0.1 | POST     "/api/v1/metrics"
